NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
289,UNIVERSITAS NEGERI SEMARANG,3561207,TEKNIK SIPIL,618.91,11.32,606.59,653.37
290,UNIVERSITAS BRAWIJAYA,3721391,TEKNIK GEOFISIKA,617.39,10.09,606.38,641.2
291,UNIVERSITAS PADJADJARAN,3331125,ILMU KEPERAWATAN,628.7,24.76,606.36,726.73
292,"UPN ""VETERAN"" YOGYAKARTA",3631063,TEKNIK KIMIA,622.96,13.2,606.28,662.86
293,UNIVERSITAS DIPONEGORO,3551082,FISIKA,620.26,11.51,606.13,651.09
294,UNIVERSITAS MULAWARMAN,5411323,KEDOKTERAN GIGI,616.31,7.48,606.02,630.53
295,INSTITUT PERTANIAN BOGOR,3411017,AGRIBISNIS,630.64,20.82,606.02,682.16
296,UNIVERSITAS AIRLANGGA,3811084,KIMIA,630.38,16.85,605.9,676.45
297,"UPN ""VETERAN"" YOGYAKARTA",3631055,TEKNIK GEOFISIKA,614.66,7.13,605.58,631.84
298,UNIVERSITAS JENDERAL SOEDIRMAN,3511185,ILMU DAN TEKNOLOGI PANGAN,619.12,13.07,605.26,666.12
299,UNIVERSITAS GADJAH MADA,3611267,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),622.36,15.18,605.26,664.7
300,UNIVERSITAS BRAWIJAYA,3721487,TEKNOLOGI INFORMASI,623.07,16.3,605.14,676.66
301,UNIVERSITAS PENDIDIKAN INDONESIA,3341085,BIOLOGI,621.82,16.64,605.07,657.52
302,UNIVERSITAS ISLAM NEGERI JAKARTA,3221033,SISTEM INFORMASI,624.3,17.44,605.02,676.58
303,UNIVERSITAS JENDERAL SOEDIRMAN,3511034,MATEMATIKA,622.09,18.03,604.85,705.28
304,UNIVERSITAS AIRLANGGA,3811142,ILMU DAN TEKNOLOGI LINGKUNGAN,623.44,14.66,604.74,664.14
305,UNIVERSITAS AIRLANGGA,3811126,PENDIDIKAN BIDAN,620.23,14.33,604.56,659.23
306,UNIVERSITAS BRAWIJAYA,3721077,TEKNIK PENGAIRAN,619.36,9.42,604.27,644.7
307,INSTITUT PERTANIAN BOGOR,3411362,EKONOMI SYARIAH,622.47,20.72,604.2,704.42
308,"UPN ""VETERAN"" YOGYAKARTA",3631071,TEKNIK INDUSTRI,619.94,12.79,604.11,661.89
309,UNIVERSITAS NEGERI SEMARANG,3561181,TEKNIK KIMIA,618.15,12.86,603.99,677.42
310,UNIVERSITAS PENDIDIKAN INDONESIA,3341015,PENDIDIKAN MATEMATIKA,623.57,18.04,603.84,698.32
311,UNIVERSITAS SEBELAS MARET,3531135,FISIKA,615.57,9.01,603.55,647.21
312,"UPN ""VETERAN"" JAKARTA",3241037,TEKNIK INDUSTRI,621.43,14.33,603.5,655.21
313,"UPN ""VETERAN"" JAKARTA",3241111,FARMASI,619.05,14.18,603.47,656.16
314,UNIVERSITAS PENDIDIKAN INDONESIA,3341174,TEKNIK ELEKTRO,613.5,8.79,603.19,639.07
315,UNIVERSITAS ANDALAS,1411145,TEKNIK SIPIL,626.59,19.17,603.09,702.29
316,UNIVERSITAS ANDALAS,1411161,TEKNIK LINGKUNGAN,615.16,9.82,603.06,639.25
317,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821241,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),635.64,27.84,602.56,700.77
318,UNIVERSITAS BRAWIJAYA,3721104,BIOLOGI,620.76,16.53,602.53,688.13
