NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
1,UNIVERSITAS INDONESIA,3211015,PENDIDIKAN DOKTER,747.93,19.63,724.38,798.55
2,UNIVERSITAS AIRLANGGA,3811014,PENDIDIKAN DOKTER,726.94,21.29,702.54,808.01
3,UNIVERSITAS PADJADJARAN,3331013,PENDIDIKAN DOKTER,717.94,18.69,694.17,780.52
4,UNIVERSITAS GADJAH MADA,3611066,KEDOKTERAN,725.21,27.08,689.05,809.84
5,UNIVERSITAS INDONESIA,3211166,ILMU KOMPUTER,712.41,24.13,685.96,798.66
6,UNIVERSITAS DIPONEGORO,3551027,KEDOKTERAN,709.46,18.05,685.77,770.48
7,INSTITUT TEKNOLOGI BANDUNG,3321073,SEKOLAH TEK. ELEKTRO & INFORMATIKA (STEI),716.69,23.24,684.45,798.31
8,UNIVERSITAS BRAWIJAYA,3721085,PENDIDIKAN DOKTER,704.59,17.39,682.85,769.4
9,UNIVERSITAS INDONESIA,3211313,AKTUARIA,716.32,29.35,681.72,782.33
10,INSTITUT TEKNOLOGI BANDUNG,3321081,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,710.97,23.27,680.99,772.1
11,UNIVERSITAS SEBELAS MARET,3531015,KEDOKTERAN,701.21,16.17,680.23,762.85
12,INSTITUT TEKNOLOGI BANDUNG,3321096,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),710.29,24.81,676.94,785.42
13,UNIVERSITAS JENDERAL SOEDIRMAN,3511107,PENDIDIKAN DOKTER,688.84,11.19,675.34,721
14,UNIVERSITAS JEMBER,3711133,PENDIDIKAN DOKTER,688.27,12.98,674.73,735.02
15,UNIVERSITAS UDAYANA,6111014,PENDIDIKAN DOKTER,691.51,17.88,674.04,754.71
16,UNIVERSITAS GADJAH MADA,3611194,STATISTIKA,688.41,16.74,669.68,740.11
17,UNIVERSITAS GADJAH MADA,3611503,ILMU AKTUARIA,685.55,18.22,665.53,732.55
18,INSTITUT TEKNOLOGI BANDUNG,3321042,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL) - KAMPUS GANESA,693.77,22.62,665.04,765.28
19,INSTITUT TEKNOLOGI BANDUNG,3321107,SEK. ARSITEKTUR. PERENC & PENGEMB KEBIJAKAN,693.39,22.45,664.66,750.92
20,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821202,INFORMATIKA,686.33,20.38,663.89,757.62
21,UNIVERSITAS INDONESIA,3211232,ARSITEKTUR INTERIOR,681.69,13.46,663.43,716.9
22,UNIVERSITAS GADJAH MADA,3611492,TEKNOLOGI INFORMASI,685.93,19.02,663.34,749.7
23,UNIVERSITAS INDONESIA,3211182,TEKNIK INDUSTRI,690.3,19.63,663.3,734.8
24,UNIVERSITAS GADJAH MADA,3611372,TEKNIK KIMIA,690.04,22.55,662.78,775.68
25,UNIVERSITAS INDONESIA,3211127,TEKNIK METALURGI & MATERIAL,686.28,17.95,662.72,726.21
26,UNIVERSITAS GADJAH MADA,3611097,KEDOKTERAN GIGI,684.03,19.39,662.28,748.47
27,UNIVERSITAS GADJAH MADA,3611186,ILMU KOMPUTER,678.96,12.69,662.13,714.26
28,UNIVERSITAS INDONESIA,3211023,PENDIDIKAN DOKTER GIGI,683.56,21.14,661.58,741.96
29,UNIVERSITAS INDONESIA,3211093,TEKNIK SIPIL,687.76,21.64,661.36,759.18
30,UNIVERSITAS INDONESIA,3211224,SISTEM INFORMASI,686.5,17.69,661.04,733.93
31,UNIVERSITAS SRIWIJAYA,1711067,PENDIDIKAN DOKTER,676.76,13.28,660.96,764.86
32,"UPN ""VETERAN"" JAKARTA",3241061,KEDOKTERAN,678.13,16.14,660.69,737.54
33,UNIVERSITAS INDONESIA,3211031,MATEMATIKA,685.03,22.56,660.52,745.11
34,UNIVERSITAS GADJAH MADA,3611027,FARMASI,679.18,17.93,659.42,760.88
35,UNIVERSITAS GADJAH MADA,3611333,ARSITEKTUR,678.19,17.82,659.2,733.62
36,UNIVERSITAS SUMATERA UTARA,1211015,PENDIDIKAN DOKTER,680.69,18.9,658.69,746.99
37,UNIVERSITAS ISLAM NEGERI MALANG,3741124,PENDIDIKAN DOKTER,671.65,8.99,658.6,692.56
38,UNIVERSITAS ANDALAS,1411033,PENDIDIKAN DOKTER,677.67,17.43,658.6,741.57
39,INSTITUT TEKNOLOGI BANDUNG,3321034,FAK. MATEMATIKA & ILMU PENGET. ALAM (FMIPA),682.26,20.46,658.25,774.44
40,UNIVERSITAS PADJADJARAN,3331187,PSIKOLOGI,683.58,22.98,657.83,757.84
41,UNIVERSITAS HASANUDDIN,7111076,PENDIDIKAN DOKTER,684.06,21.41,657.64,746.03
42,UNIVERSITAS GADJAH MADA,3611395,TEKNIK MESIN,681.71,19.83,656.72,737.99
43,UNIVERSITAS INDONESIA,3211143,TEKNIK KIMIA,689.8,23.85,656.01,739.98
44,UNIVERSITAS INDONESIA,3211305,STATISTIKA,681.15,25.82,655.85,755.25
45,UNIVERSITAS AIRLANGGA,3811022,PENDIDIKAN DOKTER GIGI,671.67,12.44,655.84,706.74
46,INSTITUT TEKNOLOGI BANDUNG,3321057,SEKOLAH FARMASI (SF),683.68,26.96,655.66,782.22
47,UNIVERSITAS INDONESIA,3211321,TEKNIK BIOMEDIS,681.87,29.04,655.66,764.33
48,UNIVERSITAS GADJAH MADA,3611171,MATEMATIKA,670.97,16.08,654.92,708.37
49,UNIVERSITAS GADJAH MADA,3611437,TEKNIK INDUSTRI,683.99,24.09,654.85,756.26
50,UNIVERSITAS GADJAH MADA,3611406,TEKNIK SIPIL,682.64,22.18,654.26,754.62
51,UNIVERSITAS INDONESIA,3211104,TEKNIK MESIN,673.32,15.8,653.55,714.89
52,INSTITUT TEKNOLOGI BANDUNG,3321065,SEKOLAH ILMU & TEKNO. HAYATI - PROG. SAINS,672.96,18.69,653.36,733.1
53,UNIVERSITAS INDONESIA,3211216,TEKNIK KOMPUTER,671.05,16.44,653.09,717.12
54,UNIVERSITAS INDONESIA,3211054,KIMIA,675.3,21.24,652.98,742.82
55,UNIVERSITAS INDONESIA,3211247,TEKNOLOGI BIOPROSES,680.01,25.02,652.77,743.38
56,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821217,SISTEM INFORMASI,669.85,13.07,652.73,713.97
57,UNIVERSITAS INDONESIA,3211077,FARMASI,684.42,23.2,652.49,735.81
58,UNIVERSITAS INDONESIA,3211255,GIZI,682.11,18.87,652.45,726.99
59,INSTITUT TEKNOLOGI BANDUNG,3321026,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM),685.38,23.81,652.21,749.4
60,UNIVERSITAS INDONESIA,3211112,TEKNIK ELEKTRO,675.49,17.28,651.98,728.48
61,UNIVERSITAS ISLAM NEGERI JAKARTA,3221114,PENDIDIKAN DOKTER,669.19,14.17,651.74,712.06
62,UNIVERSITAS PADJADJARAN,3331091,PENDIDIKAN DOKTER GIGI,675.26,21.16,651.55,747.47
63,UNIVERSITAS MATARAM,6211224,PENDIDIKAN DOKTER,663.78,13.65,651.07,706.02
64,UNIVERSITAS GADJAH MADA,3611453,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,671.93,18.9,650.64,722.22
65,UNIVERSITAS INDONESIA,3211046,FISIKA,663.3,13.95,650.47,705.48
66,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821306,SAINS AKTUARIA,672.43,16.95,650.25,721.92
67,INSTITUT PERTANIAN BOGOR,3411226,STATISTIKA,673.09,22.43,649.63,727.19
68,UNIVERSITAS GADJAH MADA,3611387,TEKNIK ELEKTRO,673.98,22.45,649.61,743.8
69,UNIVERSITAS INDONESIA,3211174,ILMU KESEHATAN MASYARAKAT,668.23,14.56,649.61,716.31
70,UNIVERSITAS INDONESIA,3211135,ARSITEKTUR,679.35,26.37,649.47,748.05
71,UNIVERSITAS INDONESIA,3211201,TEKNIK LINGKUNGAN,665.91,15.55,648.68,702.08
72,INSTITUT PERTANIAN BOGOR,3411106,ILMU KOMPUTER,663.79,16.35,648.62,748.75
73,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821121,TEKNIK SIPIL,674.81,26.84,648.51,765.69
74,UNIVERSITAS LAMPUNG,1911201,PEND. KEDOKTERAN,663.55,14.47,647.02,710.57
75,UNIVERSITAS PADJADJARAN,3331284,ILMU AKTUARIA,666.28,17.2,646.77,722.01
76,UNIVERSITAS INDONESIA,3211271,KESELAMATAN DAN KESEHATAN KERJA,661.59,14.05,646.44,691.59
77,INSTITUT TEKNOLOGI BANDUNG,3321011,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),668.94,17.02,646.2,732.1
78,UNIVERSITAS GADJAH MADA,3611422,TEKNIK FISIKA,667.32,18.28,645.87,718.84
79,UNIVERSITAS SYIAH KUALA,1111165,PENDIDIKAN DOKTER,662.84,16.6,645.71,711.67
80,UNIVERSITAS PADJADJARAN,3331206,TEKNIK INFORMATIKA,663.9,15.09,645.65,697.09
81,INSTITUT TEKNOLOGI BANDUNG,3321123,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,664.06,13.84,645.62,704.3
82,UNIVERSITAS GADJAH MADA,3611341,PERENCANAAN WILAYAH DAN KOTA,665.49,17.44,645.43,733.79
83,INSTITUT PERTANIAN BOGOR,3411497,AKTUARIA,667.16,18.33,644.89,699.32
84,UNIVERSITAS JEMBER,3711083,PENDIDIKAN DOKTER GIGI,660.04,13.08,644.7,700.66
85,UNIVERSITAS BRAWIJAYA,3721305,PENDIDIKAN DOKTER GIGI,660.95,14.96,644.43,698.6
86,UNIVERSITAS JENDERAL SOEDIRMAN,3511212,PENDIDIKAN DOKTER GIGI,657.41,9.92,643.81,680.39
87,UNIVERSITAS GADJAH MADA,3611082,GIZI KESEHATAN,668.69,18.92,643.32,721.54
88,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821071,TEKNIK ELEKTRO,665.03,17.38,643.07,733.21
89,UNIVERSITAS RIAU,1311191,PEND. DOKTER,658.77,17.44,643.01,720.68
90,UNIVERSITAS INDONESIA,3211263,KESEHATAN LINGKUNGAN,655.39,10.17,642.77,678.3
91,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821086,TEKNIK KIMIA,669.82,19.95,642.56,727.17
92,UNIVERSITAS DIPONEGORO,3551236,TEKNIK INDUSTRI,662.06,16.04,642.38,714.4
93,UNIVERSITAS GADJAH MADA,3611356,TEKNIK GEODESI,663.06,20.62,641.44,747.32
94,UNIVERSITAS GADJAH MADA,3611163,KIMIA,660.98,20.71,641.3,729.88
95,UNIVERSITAS SEBELAS MARET,3531174,INFORMATIKA,659.53,17.2,639.86,718.34
96,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821136,ARSITEKTUR,660.33,22.64,639.37,767.21
97,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821032,STATISTIKA,659.15,17.82,639.31,724.21
98,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821314,TEKNOLOGI INFORMASI,659.18,17.51,638.99,700.49
99,UNIVERSITAS DIPONEGORO,3551171,TEKNIK SIPIL,656.18,15.2,638.74,712.13
100,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821105,TEKNIK INDUSTRI,667.42,19.99,638.67,725.73
101,UNIVERSITAS INDONESIA,3211294,GEOLOGI,654.35,14.27,638.6,702.73
102,INSTITUT TEKNOLOGI BANDUNG,3321154,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS CIREBON,653.49,14.96,638.5,696.62
103,UNIVERSITAS GADJAH MADA,3611213,ELEKTRONIKA DAN INSTRUMENTASI,665.27,19.16,638.37,713.91
104,INSTITUT TEKNOLOGI BANDUNG,3321131,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) - KAMPUS JATINANGOR,656.61,13.55,638.12,693.83
105,UNIVERSITAS GADJAH MADA,3611205,GEOFISIKA,657.52,17.33,637.75,700.2
106,UNIVERSITAS DIPONEGORO,3551333,KEDOKTERAN GIGI,661.94,26.87,637.63,742.02
107,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821295,TEKNIK BIOMEDIK,657.05,16.23,636.9,687.38
108,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821063,TEKNIK MESIN,659.35,16.37,636.7,718.5
109,UNIVERSITAS PENDIDIKAN GANESHA,6121217,KEDOKTERAN,656.65,24.65,636.54,734.63
110,UNIVERSITAS SEBELAS MARET,3531023,PSIKOLOGI,652.26,12.63,636.51,685.89
111,INSTITUT PERTANIAN BOGOR,3411273,TEKNOLOGI PANGAN,657.46,18.65,636.42,728.04
112,UNIVERSITAS DIPONEGORO,3551205,TEKNIK KIMIA,655.57,14.57,636.15,698.9
113,UNIVERSITAS INDONESIA,3211062,BIOLOGI,657.97,20.27,635.91,708.95
114,UNIVERSITAS DIPONEGORO,3551101,INFORMATIKA,656.98,17.33,635.62,707.66
115,UNIVERSITAS INDONESIA,3211286,GEOFISIKA,656,15.78,635.5,700.48
116,INSTITUT PERTANIAN BOGOR,3411315,TEKNIK SIPIL DAN LINGKUNGAN,650.1,9.98,635.39,676.71
117,UNIVERSITAS MULAWARMAN,5411211,PENDIDIKAN DOKTER,650.57,13.2,635.14,682.35
118,UNIVERSITAS GADJAH MADA,3611364,TEKNIK GEOLOGI,657.45,20.59,634.99,727.19
119,UNIVERSITAS PADJADJARAN,3331164,FARMASI,659.09,21.88,634.72,753.46
120,UNIVERSITAS JENDERAL SOEDIRMAN,3511131,FARMASI,649.13,14.85,634.33,729.52
121,UNIVERSITAS AIRLANGGA,3811037,PENDIDIKAN APOTEKER,657.01,16.24,634.27,724.26
122,UNIVERSITAS BRAWIJAYA,3721247,TEKNIK INDUSTRI,650.02,15.56,633.64,699.37
123,UNIVERSITAS LAMBUNG MANGKURAT,5311233,PENDIDIKAN DOKTER,653.3,17.59,633.45,725.57
124,UNIVERSITAS GADJAH MADA,3611461,TEKNOLOGI INDUSTRI PERTANIAN,653.8,18.94,633.36,720.78
125,UNIVERSITAS BRAWIJAYA,3721182,STATISTIKA,649.74,16.77,632.86,713.69
126,INSTITUT PERTANIAN BOGOR,3411354,ILMU GIZI,650.77,15.28,632.78,690.39
127,UNIVERSITAS TANJUNGPURA,5111207,PEND. DOKTER,655.37,18.42,632.65,708.53
128,UNIVERSITAS UDAYANA,6111262,PENDIDIKAN DOKTER GIGI,646.77,11.1,632.59,669.91
129,UNIVERSITAS JAMBI,1511146,KEDOKTERAN,644.41,9.66,632.42,669.9
130,INSTITUT PERTANIAN BOGOR,3411041,BIOKIMIA,649.44,18.41,631.93,704.43
131,UNIVERSITAS SEBELAS MARET,3531077,TEKNIK SIPIL,647.11,11.62,631.88,690.46
132,UNIVERSITAS PADJADJARAN,3331067,STATISTIKA,656.38,23.99,631.73,738.17
133,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821094,TEKNIK FISIKA,650.02,15.77,631.59,705.3
134,UNIVERSITAS GADJAH MADA,3611012,BIOLOGI,652.05,17.71,631.44,723.88
135,UNIVERSITAS GADJAH MADA,3611051,PEMBANGUNAN WILAYAH,654.73,17.49,631.43,691.19
136,UNIVERSITAS PADJADJARAN,3331141,TEKNOLOGI PANGAN,651.11,19.65,631.24,733.32
137,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821256,TEKNIK KOMPUTER,653.27,19.69,630.95,704.1
138,UNIVERSITAS GADJAH MADA,3611414,TEKNIK NUKLIR,661.84,23.53,630.21,726.07
139,UNIVERSITAS INDONESIA,3211085,GEOGRAFI,645.62,12.87,629.84,694.27
140,UNIVERSITAS BRAWIJAYA,3721255,TEKNIK INFORMATIKA,646.77,14.48,629.77,685.55
141,UNIVERSITAS BRAWIJAYA,3721367,SISTEM INFORMASI,644.45,12.84,629.63,699.99
142,UNIVERSITAS ANDALAS,1411064,PENDIDIKAN DOKTER GIGI,644.4,11.36,629.58,669.15
143,UNIVERSITAS BRAWIJAYA,3721336,FARMASI,649.23,18.48,629.28,708.74
144,UNIVERSITAS SEBELAS MARET,3531112,TEKNIK KIMIA,642.97,11.54,629.27,675.25
145,UNIVERSITAS PADJADJARAN,3331036,KIMIA,645.6,13.13,629.08,693.16
146,UNIVERSITAS INDONESIA,3211197,TEKNIK PERKAPALAN,645.84,15.92,629.01,680.35
147,UNIVERSITAS DIPONEGORO,3551213,TEKNIK ELEKTRO,648.29,18,629,700.64
148,UNIVERSITAS GADJAH MADA,3611155,FISIKA,652.38,27.56,628.8,766.11
149,UNIVERSITAS GADJAH MADA,3611043,KARTOGRAFI DAN PENGINDERAAN JAUH,653.27,24.97,628.7,755.56
150,UNIVERSITAS DIPONEGORO,3551186,ARSITEKTUR,646.76,15.94,628.64,701.26
151,INSTITUT PERTANIAN BOGOR,3411443,MATEMATIKA,644.66,15.37,628.51,692.99
152,UNIVERSITAS DIPONEGORO,3551097,STATISTIKA,646.44,15.13,628.28,704.09
153,UNIVERSITAS SEBELAS MARET,3531271,FARMASI,647.24,12.56,628.03,670.67
154,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821113,TEKNIK MATERIAL,648.4,17.69,627.85,708.98
155,UNIVERSITAS SEBELAS MARET,3531294,STATISTIKA,645.49,17.66,627.28,723.75
156,UNIVERSITAS GADJAH MADA,3611252,EKONOMI PERTANIAN DAN AGRIBISNIS,646.61,16.45,627.14,680.92
157,UNIVERSITAS SAM RATULANGI,7211015,PENDIDIKAN DOKTER,646.02,17.31,627.11,728.61
158,UNIVERSITAS NEGERI YOGYAKARTA,3621014,PENDIDIKAN MATEMATIKA,645.02,15.14,626.98,688.2
159,UNIVERSITAS PADJADJARAN,3331021,MATEMATIKA,652.67,19.21,626.86,702.93
160,UNIVERSITAS NEGERI JAKARTA,3231155,ILMU KOMPUTER,648.91,18.89,626.75,693.04
161,UNIVERSITAS CENDERAWASIH,9111126,PENDIDIKAN DOKTER,637.57,12.67,626.45,651.36
162,UNIVERSITAS AIRLANGGA,3811134,TEKNOBIOMEDIK,641.1,14.16,626.44,681.49
163,UNIVERSITAS AIRLANGGA,3811157,SISTEM INFORMASI,646.02,20.4,626.25,736.49
164,UNIVERSITAS BRAWIJAYA,3721093,ILMU DAN TEKNOLOGI PANGAN,645.23,17.04,626.18,693.7
165,UNIVERSITAS BRAWIJAYA,3721031,TEKNIK SIPIL,648.08,17.38,626.1,695.92
166,INSTITUT TEKNOLOGI BANDUNG,3321146,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS JATINANGOR,662.02,29.58,626.04,723.53
167,UNIVERSITAS BENGKULU,1611194,PENDIDIKAN DOKTER,643.2,13.68,625.95,683.84
168,UNIVERSITAS SEBELAS MARET,3531093,TEKNIK INDUSTRI,645.64,16.05,625.76,697.86
169,UNIVERSITAS GADJAH MADA,3611035,GEOGRAFI LINGKUNGAN,641.35,16.56,625.37,685.28
170,UNIVERSITAS DIPONEGORO,3551244,TEKNIK LINGKUNGAN,644.12,15.51,625.1,701.01
171,UNIVERSITAS BRAWIJAYA,3721062,ARSITEKTUR,643.67,15.41,625.06,712.57
172,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821191,TEKNIK SISTEM PERKAPALAN,646.44,18.28,624.95,714.08
173,UNIVERSITAS GADJAH MADA,3611101,KEDOKTERAN HEWAN,648.06,18.45,624.49,714.33
174,UNIVERSITAS PADJADJARAN,3331172,TEKNIK GEOLOGI,645.72,20.46,624.47,745.59
175,UNIVERSITAS DIPONEGORO,3551043,GIZI,642.09,16.7,624.2,719.3
176,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821272,TEKNIK GEOFISIKA,643.2,16.08,624.1,680.39
177,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821144,TEKNIK LINGKUNGAN,648,20.68,624.03,704.78
178,INSTITUT PERTANIAN BOGOR,3411346,MANAJEMEN,641.34,14.24,623.78,680.34
179,UNIVERSITAS HASANUDDIN,7111196,PENDIDIKAN DOKTER GIGI,643.72,19.55,623.74,719.63
180,UNIVERSITAS DIPONEGORO,3551341,FARMASI,646.72,18.21,623.68,693.49
181,UNIVERSITAS SEBELAS MARET,3531085,ARSITEKTUR,635.3,10.64,623.07,678.62
182,UNIVERSITAS BRAWIJAYA,3721054,TEKNIK ELEKTRO,640.26,19.69,623.05,769.24
183,UNIVERSITAS NEGERI YOGYAKARTA,3621397,STATISTIKA,637.96,13.35,622.97,663.92
184,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821167,PERENCANAAN WILAYAH DAN KOTA,644.58,19.25,622.84,716.95
185,UNIVERSITAS DIPONEGORO,3551302,TEKNOLOGI PANGAN,640.88,14.95,622.84,686.8
186,UNIVERSITAS MALIKUSSALEH,1121113,PENDIDIKAN DOKTER,636.18,11.26,622.49,667.04
187,INSTITUT PERTANIAN BOGOR,3411033,ARSITEKTUR LANSEKAP,642.13,14.54,622.43,688.81
188,INSTITUT PERTANIAN BOGOR,3411122,KIMIA,643.41,19.11,622.15,702.26
189,UNIVERSITAS GADJAH MADA,3611074,ILMU KEPERAWATAN,639.24,11.7,621.74,665.79
190,UNIVERSITAS SRIWIJAYA,1711075,PENDIDIKAN DOKTER GIGI,636.56,12.48,621.57,681.44
191,UNIVERSITAS INDONESIA,3211151,ILMU KEPERAWATAN,637.92,15.62,621.33,699.72
192,UNIVERSITAS PADJADJARAN,3331195,GEOFISIKA,636.78,11.88,621.27,669.8
193,UNIVERSITAS NEGERI JAKARTA,3231074,KIMIA,636.58,11,620.96,671.22
194,UNIVERSITAS DIPONEGORO,3551051,MATEMATIKA,639.78,18.38,620.73,706.2
195,UNIVERSITAS BRAWIJAYA,3721375,TEKNIK KIMIA,636.49,16.24,620.71,691.34
